16:03:09 | INFO    | train_pibe         | experiment:
system            : automatica_n4(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
16:03:09 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.507e-02 |  7.313e-02 |  1.097e-02 |    5.48 |    77.76 |
  2 |  7.249e-02 |  7.508e-02 |  1.126e-02 |    5.63 |    79.83 |
  3 |  3.235e-02 |  1.526e-02 |  1.832e-03 |    0.92 |    12.98 |  <- below the noise floor
  4 |  1.297e-02 |  1.230e-02 |  1.476e-03 |    0.74 |    10.47 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
16:20:37 | INFO    | pibe.training.trainer |   cell 5 | i=10750 | global | obj=2.0824e-04 | data=1.0529e-05 | phys=1.2522e-05 | |g|=9.32e-02
16:20:52 | INFO    | pibe.training.trainer |   cell 5 | i=11000 | global | obj=2.1790e-04 | data=1.5849e-05 | phys=3.9493e-05 | |g|=4.47e-01
16:21:07 | INFO    | pibe.training.trainer |   cell 5 | i=11250 | global | obj=8.4834e-04 | data=1.5933e-05 | phys=6.0966e-04 | |g|=1.90e+00
16:21:22 | INFO    | pibe.training.trainer |   cell 5 | i=11500 | global | obj=4.3579e-04 | data=5.4669e-05 | phys=1.3264e-04 | |g|=5.11e-01
16:21:37 | INFO    | pibe.training.trainer |   cell 5 | i=11750 | global | obj=6.9179e-04 | data=3.5368e-05 | phys=4.2564e-04 | |g|=1.42e+00
16:21:52 | INFO    | pibe.training.trainer |   cell 5 | i=12000 | global | obj=2.1045e-04 | data=1.6930e-05 | phys=2.9255e-05 | |g|=3.73e-01
16:22:07 | INFO    | pibe.training.trainer |   cell 5 | i=12250 | global | obj=1.5962e-03 | data=5.1630e-05 | phys=1.1050e-03 | |g|=2.51e+00
16:22:22 | INFO    | pibe.training.trainer |   cell 5 | i=12500 | global | obj=2.0819e-04 | data=1.7444e-05 | phys=1.0182e-05 | |g|=1.91e-01
16:22:37 | INFO    | pibe.training.trainer |   cell 5 | i=12750 | global | obj=4.9048e-04 | data=2.7014e-05 | phys=2.8729e-04 | |g|=1.33e+00
16:22:52 | INFO    | pibe.training.trainer |   cell 5 | i=13000 | global | obj=1.1540e-03 | data=3.0469e-05 | phys=8.8649e-04 | |g|=2.27e+00
