12:49:24 | INFO    | train_pibe         | experiment:
system            : automatica_n4v3(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:49:25 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:58:59 | INFO    | pibe.training.trainer |   cell 5 | i=  500 | local  | obj=5.9487e-01 | data=5.5300e-01 | phys=4.1866e-02 | |g|=1.75e-01
12:59:11 | INFO    | pibe.training.trainer |   cell 5 | i=  750 | local  | obj=5.9357e-01 | data=5.4668e-01 | phys=4.6888e-02 | |g|=3.68e-01
12:59:22 | INFO    | pibe.training.trainer |   cell 5 | i= 1000 | local  | obj=5.9818e-01 | data=5.5498e-01 | phys=4.3205e-02 | |g|=9.71e-02
12:59:32 | INFO    | pibe.training.trainer |   cell 5 | i= 1250 | local  | obj=5.9841e-01 | data=5.6076e-01 | phys=3.7649e-02 | |g|=5.53e-01
12:59:42 | INFO    | pibe.training.trainer |   cell 5 | i= 1500 | local  | obj=5.9719e-01 | data=5.5589e-01 | phys=4.1297e-02 | |g|=1.78e-01
12:59:52 | INFO    | pibe.training.trainer |   cell 5 | i= 1750 | local  | obj=5.9714e-01 | data=5.5454e-01 | phys=4.2603e-02 | |g|=8.46e-02
13:00:03 | INFO    | pibe.training.trainer |   cell 5 | i= 2000 | local  | obj=5.9364e-01 | data=5.4977e-01 | phys=4.3870e-02 | |g|=8.83e-02
13:00:15 | INFO    | pibe.training.trainer |   cell 5 | i= 2250 | local  | obj=5.9380e-01 | data=5.5143e-01 | phys=4.2369e-02 | |g|=3.59e-01
13:00:26 | INFO    | pibe.training.trainer |   cell 5 | i= 2500 | local  | obj=5.9809e-01 | data=5.5361e-01 | phys=4.4475e-02 | |g|=1.38e-01
13:00:36 | INFO    | pibe.training.trainer |   cell 5 | i= 2750 | local  | obj=5.9889e-01 | data=5.5449e-01 | phys=4.4407e-02 | |g|=2.13e-01
13:00:46 | INFO    | pibe.training.trainer |   cell 5 | i= 3000 | global | obj=5.9485e-01 | data=5.5123e-01 | phys=4.3593e-02 | |g|=2.21e+01
13:01:05 | INFO    | pibe.training.trainer |   cell 5 | i= 3250 | global | obj=6.0005e-03 | data=3.6180e-04 | phys=4.2227e-03 | |g|=5.92e+00
13:01:25 | INFO    | pibe.training.trainer |   cell 5 | i= 3500 | global | obj=1.0716e-02 | data=1.4031e-03 | phys=1.7875e-03 | |g|=3.83e+00
13:01:46 | INFO    | pibe.training.trainer |   cell 5 | i= 3750 | global | obj=5.0032e-03 | data=1.8052e-04 | phys=3.6666e-03 | |g|=4.19e+00
13:02:05 | INFO    | pibe.training.trainer |   cell 5 | i= 4000 | global | obj=3.8802e-03 | data=1.5351e-04 | phys=2.9283e-03 | |g|=3.79e+00
13:02:27 | INFO    | pibe.training.trainer |   cell 5 | i= 4250 | global | obj=4.9276e-03 | data=4.0517e-04 | phys=2.4896e-03 | |g|=2.93e+00
13:02:47 | INFO    | pibe.training.trainer |   cell 5 | i= 4500 | global | obj=2.4530e-03 | data=7.7590e-05 | phys=1.8403e-03 | |g|=2.93e+00
13:03:07 | INFO    | pibe.training.trainer |   cell 5 | i= 4750 | global | obj=2.1060e-03 | data=9.8699e-05 | phys=1.4604e-03 | |g|=2.52e+00
13:03:25 | INFO    | pibe.training.trainer |   cell 5 | i= 5000 | global | obj=2.2754e-03 | data=2.1463e-04 | phys=1.1768e-03 | |g|=2.53e+00
13:03:43 | INFO    | pibe.training.trainer |   cell 5 | i= 5250 | global | obj=3.0095e-03 | data=4.2397e-04 | phys=1.0857e-03 | |g|=1.90e+00
13:04:01 | INFO    | pibe.training.trainer |   cell 5 | i= 5500 | global | obj=2.0220e-03 | data=4.5428e-05 | phys=1.4641e-03 | |g|=2.50e+00
13:04:21 | INFO    | pibe.training.trainer |   cell 5 | i= 5750 | global | obj=2.2192e-03 | data=1.4747e-04 | phys=1.3025e-03 | |g|=2.18e+00
13:04:43 | INFO    | pibe.training.trainer |   cell 5 | i= 6000 | global | obj=1.4151e-03 | data=1.2904e-04 | phys=8.3841e-04 | |g|=1.98e+00
13:05:02 | INFO    | pibe.training.trainer |   cell 5 | i= 6250 | global | obj=1.8214e-03 | data=4.9337e-05 | phys=1.3534e-03 | |g|=2.47e+00
13:05:20 | INFO    | pibe.training.trainer |   cell 5 | i= 6500 | global | obj=2.0567e-03 | data=2.0040e-04 | phys=1.3169e-03 | |g|=2.53e+00
13:05:39 | INFO    | pibe.training.trainer |   cell 5 | i= 6750 | global | obj=1.1589e-03 | data=1.1502e-04 | phys=6.5905e-04 | |g|=1.68e+00
13:05:57 | INFO    | pibe.training.trainer |   cell 5 | i= 7000 | global | obj=2.0140e-03 | data=3.5113e-04 | phys=4.9751e-04 | |g|=1.09e+00
13:06:15 | INFO    | pibe.training.trainer |   cell 5 | i= 7250 | global | obj=1.2922e-03 | data=5.2962e-05 | phys=7.6793e-04 | |g|=1.73e+00
13:06:33 | INFO    | pibe.training.trainer |   cell 5 | i= 7500 | global | obj=1.0944e-03 | data=1.6960e-05 | phys=7.6304e-04 | |g|=1.76e+00
13:06:52 | INFO    | pibe.training.trainer |   cell 5 | i= 7750 | global | obj=1.1547e-03 | data=1.3373e-04 | phys=1.3136e-04 | |g|=8.90e-01
13:07:10 | INFO    | pibe.training.trainer |   cell 5 | i= 8000 | global | obj=9.5431e-04 | data=3.9514e-05 | phys=6.5268e-04 | |g|=1.67e+00
13:07:28 | INFO    | pibe.training.trainer |   cell 5 | i= 8250 | global | obj=1.0657e-03 | data=3.9144e-05 | phys=6.7583e-04 | |g|=1.65e+00
13:07:47 | INFO    | pibe.training.trainer |   cell 5 | i= 8500 | global | obj=1.6341e-02 | data=1.4418e-03 | phys=4.0798e-03 | |g|=4.83e+00
13:08:07 | INFO    | pibe.training.trainer |   cell 5 | i= 8750 | global | obj=6.5328e-04 | data=2.8197e-05 | phys=3.1113e-04 | |g|=1.15e+00
13:08:26 | INFO    | pibe.training.trainer |   cell 5 | i= 9000 | global | obj=2.0759e-04 | data=1.2014e-05 | phys=1.0704e-05 | |g|=7.27e-02
13:08:44 | INFO    | pibe.training.trainer |   cell 5 | i= 9250 | global | obj=4.5771e-04 | data=1.1353e-05 | phys=2.6226e-04 | |g|=1.08e+00
13:09:01 | INFO    | pibe.training.trainer |   cell 5 | i= 9500 | global | obj=7.0325e-04 | data=1.2399e-05 | phys=3.3137e-04 | |g|=1.04e+00
13:09:19 | INFO    | pibe.training.trainer |   cell 5 | i= 9750 | global | obj=8.3642e-04 | data=1.4057e-05 | phys=4.5968e-04 | |g|=1.40e+00
13:09:37 | INFO    | pibe.training.trainer |   cell 5 | i=10000 | global | obj=8.5441e-04 | data=2.7055e-05 | phys=5.5503e-04 | |g|=1.55e+00
13:09:55 | INFO    | pibe.training.trainer |   cell 5 | i=10250 | global | obj=2.3929e-03 | data=3.0325e-04 | phys=6.6423e-04 | |g|=1.61e+00
13:10:13 | INFO    | pibe.training.trainer |   cell 5 | i=10500 | global | obj=1.7104e-04 | data=5.8036e-06 | phys=1.1244e-05 | |g|=1.12e-01
13:10:31 | INFO    | pibe.training.trainer |   cell 5 | i=10750 | global | obj=1.5017e-04 | data=5.7607e-06 | phys=1.3802e-05 | |g|=8.26e-02
13:10:49 | INFO    | pibe.training.trainer |   cell 5 | i=11000 | global | obj=9.5334e-04 | data=3.7537e-05 | phys=6.8153e-04 | |g|=1.69e+00
13:11:07 | INFO    | pibe.training.trainer |   cell 5 | i=11250 | global | obj=7.3811e-04 | data=1.4901e-05 | phys=4.8765e-04 | |g|=1.44e+00
13:11:24 | INFO    | pibe.training.trainer |   cell 5 | i=11500 | global | obj=1.0061e-03 | data=7.0559e-06 | phys=7.4439e-04 | |g|=1.61e+00
13:11:42 | INFO    | pibe.training.trainer |   cell 5 | i=11750 | global | obj=1.2819e-04 | data=4.1292e-06 | phys=8.8687e-06 | |g|=1.21e-01
13:12:00 | INFO    | pibe.training.trainer |   cell 5 | i=12000 | global | obj=9.9378e-05 | data=3.0683e-06 | phys=4.6949e-06 | |g|=4.55e-02
13:12:18 | INFO    | pibe.training.trainer |   cell 5 | i=12250 | global | obj=1.6163e-04 | data=1.0838e-05 | phys=2.5023e-05 | |g|=1.08e-01
13:12:36 | INFO    | pibe.training.trainer |   cell 5 | i=12500 | global | obj=1.3470e-03 | data=4.9091e-06 | phys=1.0457e-03 | |g|=2.04e+00
13:12:53 | INFO    | pibe.training.trainer |   cell 5 | i=12750 | global | obj=1.0236e-03 | data=2.1582e-05 | phys=7.1520e-04 | |g|=1.76e+00
13:13:11 | INFO    | pibe.training.trainer |   cell 5 | i=13000 | global | obj=8.9376e-04 | data=7.5045e-05 | phys=4.8455e-04 | |g|=1.57e+00
13:13:30 | INFO    | pibe.training.trainer |   cell 5 | i=13250 | global | obj=8.6078e-05 | data=3.2671e-06 | phys=5.0574e-06 | |g|=2.21e-02
